Ledger date,Value date,User,Record,Event,Ope,Description,Debit,Credit
2019-03-18,2019-03-18,AIF,VS110094971,094971,674,MTN RWANDACELL LTD,"1,000",
2019-03-18,2019-03-18,AIF,VS110095464,095464,674,MTN RWANDACELL LTD,"1,000",
2019-03-18,2019-03-18,AIF,VS110093764,093764,674,MTN RWANDACELL LTD,"1,000",
2019-03-20,2019-03-20,AIF,VS110101086,101086,674,MTN RWANDACELL LTD,"1,000",
2019-03-22,2019-03-22,AIF,VS110104500,104500,674,MTN RWANDACELL LTD,"1,000",
2019-03-25,2019-03-25,AIF,VS110110496,110496,674,MTN RWANDACELL LTD,"1,000",
2019-04-01,2019-04-01,CUWE,VM001888865,609434,092,SALARY MARCH 2019,,"100,000"
2019-04-02,2019-04-02,AUTO,SB069872828,872828,969,WITHDRWAL CHARGES Ref No: 8728,200,
2019-04-02,2019-04-02,AUTO,,872828,660,BKAD0077 Auth:000021 CUSTOMER,"50,000",
2019-04-03,2019-04-03,AIF,VS110144076,144076,674,MTN RWANDACELL LTD,"4,500",
2019-04-08,2019-04-08,AIF,VS110155995,155995,674,MTN RWANDACELL LTD,"1,000",
2019-04-08,2019-04-08,AUTO,VH100558637,558637,613,BKP01119 Auth:000022 CUSTOMER,"6,800",
2019-04-08,2019-04-08,AIF,VS110154091,154091,674,MTN RWANDACELL LTD,"2,300",
2019-04-08,2019-04-08,AIF,VS110158739,158739,674,MTN RWANDACELL LTD,"3,500",
2019-04-09,2019-04-09,AUTO,SB069915361,915361,969,WITHDRWAL CHARGES Ref No: 9153,200,
2019-04-09,2019-04-09,AUTO,,915361,660,BKAD0002 Auth:000023 CUSTOMER,"30,000",
2019-04-10,2019-04-10,AIF,VS110163471,163471,674,MTN RWANDACELL LTD,"1,000",
2019-04-26,2019-04-26,CUWE,VM001895990,668995,092,SALARY,,"100,000"
2019-04-29,2019-04-29,AUTO,SB06955780,55780,969,WITHDRWAL CHARGES Ref No: 5578,200,
2019-04-29,2019-04-29,AIF,VS110213724,213724,674,MTN RWANDACELL LTD,"1,000",
2019-04-29,2019-04-29,AUTO,,55780,660,BKAD0006 Auth:000024 CUSTOMER,"60,000",
2019-04-30,2019-05-01,AUTO,AG495534,495534,989,FRAIS FIXE AU 30/04/19,200,
2019-05-02,2019-05-02,AUTO,SB06976065,76065,969,WITHDRWAL CHARGES Ref No: 7606,200,
2019-05-02,2019-05-02,AIF,VS110225502,225502,674,MTN RWANDACELL LTD,"1,000",
2019-05-02,2019-05-02,AUTO,,76065,660,BKAD0037 Auth:000025 CUSTOMER,"15,000",
2019-05-06,2019-05-06,AIF,VS110233898,233898,674,MTN RWANDACELL LTD,"1,000",
2019-05-06,2019-05-06,AIF,VS110229910,229910,674,MTN RWANDACELL LTD,"1,000",
2019-05-06,2019-05-06,AIF,VS110237008,237008,674,MTN RWANDACELL LTD,"1,000",
2019-05-06,2019-05-06,AIF,VS110239353,239353,674,MTN RWANDACELL LTD,"5,000",
2019-05-06,2019-05-06,AIF,VS110234842,234842,674,MTN RWANDACELL LTD,"2,000",
2019-05-08,2019-05-08,AIF,VS110244147,244147,674,MTN RWANDACELL LTD,"1,000",
2019-05-10,2019-05-10,AIF,VS110249852,249852,674,MTN RWANDACELL LTD,"10,000",
2019-05-20,2019-05-20,AIF,VS110278074,278074,674,MTN RWANDACELL LTD,"2,000",
2019-05-30,2019-05-30,AUTO,SB069255600,255600,969,WITHDRWAL CHARGES Ref No: 2556,200,
2019-05-30,2019-05-30,CUWE,VM001907118,781925,092,SALARY MAY/2019,,"100,000"
2019-05-30,2019-05-30,AIF,VS110317084,317084,674,MTN RWANDACELL LTD,"2,000",
2019-05-30,2019-05-30,AUTO,,255600,660,BKAD0037 Auth:000026 BDK,"10,000",
2019-05-31,2019-05-31,AIF,VS110318972,318972,674,MTN RWANDACELL LTD,"3,000",
2019-05-31,2019-06-01,AUTO,AG529117,529117,989,FRAIS FIXE AU 31/05/19,200,
2019-05-31,2019-05-31,AUTO,VH100784142,784142,613,83908259 Auth:000027 CUSTOMER,"3,900",
2019-05-31,2019-05-31,AIF,VS110321215,321215,674,MTN RWANDACELL LTD,"4,000",
2019-06-03,2019-06-03,AUTO,SB069279631,279631,969,WITHDRWAL CHARGES Ref No: 2796,200,
2019-06-03,2019-06-03,AUTO,,279631,660,BKAD0003 Auth:000028 BDK,"60,000",
2019-06-03,2019-06-03,AIF,VS110327460,327460,674,MTN RWANDACELL LTD,"6,000",
2019-06-04,2019-06-04,AIF,VS110334584,334584,674,MTN RWANDACELL LTD,"1,000",
2019-06-04,2019-06-04,AIF,VS110334156,334156,674,MTN RWANDACELL LTD,"3,000",
2019-06-05,2019-06-05,AIF,VS110339725,339725,674,MTN RWANDACELL LTD,"1,500",
2019-06-10,2019-06-10,AIF,VS110353316,353316,674,MTN RWANDACELL LTD,"1,000",
2019-06-10,2019-06-10,AIF,VS110348179,348179,674,MTN RWANDACELL LTD,"1,000",
2019-06-17,2019-06-17,AIF,VS110373167,373167,674,MTN RWANDACELL LTD,"3,000",
2019-06-28,2019-06-28,CUWE,VM001916335,879611,092,SALARY JUNE,,"100,000"
2019-07-02,2019-07-02,AIF,VS110428870,428870,674,MTN RWANDACELL LTD,"2,000",
2019-07-02,2019-07-02,AIF,VS110428879,428879,674,MTN RWANDACELL LTD,"30,000",
2019-07-03,2019-07-03,AIF,VS110433026,433026,674,MTN RWANDACELL LTD,"3,000",
2019-07-03,2019-07-03,AIF,VS110432363,432363,674,MTN RWANDACELL LTD,"3,000",
2019-07-05,2019-07-05,AIF,VS110437823,437823,674,MTN RWANDACELL LTD,"2,700",
2019-07-05,2019-07-05,AIF,VS110436915,436915,674,MTN RWANDACELL LTD,"13,000",
2019-07-05,2019-07-05,AIF,VS110436843,436843,674,MTN RWANDACELL LTD,"3,000",
2019-07-08,2019-07-08,AIF,VS110444659,444659,674,MTN RWANDACELL LTD,"2,000",
